date,AG_P,AG_P_MAINCROP,AG_P_FOOD,AG_P_BEAN,AG_P_PINEAPP,AG_P_HOM,AG_P_OILGR,AG_P_POUL,AG_Q_OILGR,AG_Q_PIG,AG_Q_COW,AG_INC,AG_INC_MAINCROP,AG_INC_POUL,AG_INC_EGG,EX_AGPRO_SUGAR,EX_AGPRO_PINEAPPCAN,EX_ELETRONIC,IM_CAP_GOODS,IM_QINDEX_PC,IM_PINDEX_CAP,IM_PINDEX,EX_MANU_P,EX_MANU_V,EX_P,WAGE_CONS,WAGE_BANK,WAGE_BANK_PRI,WAGE_BKK_CONS_PRI,EM_REALEST_BKK,WAGE_S_BANK,EM_CONS,P_MANU_SUGAR,N_AG_P_PIG,N_AG_P_CROP,N_EX_BORDER_CN,N_IM_BORDER_CN,S_PMANU_RUBPLATE
1/1/2000,,,,,,,,,,,,,,,,53.73,22.10,1362.21,905.39,27.55,74.91,57.10,70.79,42.24,63.27,,,,,,,,13.40,35.70,,1.30,0.60,23.64
2/1/2000,,,,,,,,,,,,,,,,62.72,21.20,1382.44,1198.84,36.52,75.05,57.22,71.01,43.40,63.87,,,,,,,,13.46,35.00,,0.20,0.20,27.42
3/1/2000,,,,,,,,,,,,,,,,105.97,21.51,1424.67,975.21,30.62,75.25,57.39,71.31,40.47,63.79,,,,,,,,13.46,33.40,,0.90,0.40,25.79
4/1/2000,,,,,,,,,,,,,,,,72.21,17.39,1281.06,963.93,31.23,75.42,57.65,71.12,41.86,63.59,,,,,,,,13.46,34.50,,0.70,0.20,26.08
5/1/2000,,,,,,,,,,,,,,,,53.77,18.96,1323.82,1000.02,32.12,75.70,57.52,70.95,37.59,63.45,,,,,,,,13.52,35.50,,1.30,0.20,26.33
6/1/2000,,,,,,,,,,,,,,,,57.00,22.08,1317.63,1033.33,33.71,75.88,57.80,70.30,41.16,62.72,,,,,,,,13.80,34.30,,0.80,0.30,25.46
7/1/2000,,,,,,,,,,,,,,,,56.45,20.61,1541.52,1103.10,32.83,75.83,57.96,69.96,46.80,62.34,,,,,,,,14.04,34.50,,2.60,0.10,25.74
8/1/2000,,,,,,,,,,,,,,,,42.17,14.93,1582.73,1217.65,36.74,76.06,57.96,69.14,44.11,61.81,,,,,,,,14.10,35.10,,3.90,0.40,26.90
9/1/2000,,,,,,,,,,,,,,,,46.33,10.77,1655.13,1025.91,35.42,76.23,58.09,68.31,45.22,61.02,,,,,,,,14.11,33.90,,2.10,1.30,26.97
10/1/2000,,,,,,,,,,,,,,,,45.38,14.16,1625.55,1374.23,32.85,76.44,58.29,67.67,46.05,61.04,,,,,,,,14.06,33.10,,2.70,1.30,28.36
11/1/2000,,,,,,,,,,,,,,,,44.21,17.16,1741.25,1301.06,34.60,76.56,58.54,66.78,46.56,59.85,,,,,,,,14.09,33.30,,2.30,1.20,27.73
12/1/2000,,,,,,,,,,,,,,,,28.09,14.85,1677.36,1148.73,34.25,76.78,58.79,66.82,46.98,60.55,,,,,,,,14.11,33.40,,2.20,1.10,26.56
1/1/2001,,,,,,,,,,,,,,,,47.30,14.04,1399.76,1391.76,34.58,76.51,58.41,66.66,42.99,60.05,4742.92,13817.55,13491.36,0.00,184.06,0.00,1636.25,14.11,32.40,,1.50,0.70,25.90
2/1/2001,,,,,,,,,,,,,,,,86.26,16.47,1320.45,1353.20,35.76,76.54,58.43,66.52,44.48,59.46,4454.66,16390.64,15667.23,0.00,204.63,0.00,1927.41,14.10,32.20,,2.30,0.60,25.66
3/1/2001,,,,,,,,,,,,,,,,72.58,19.19,1507.13,1283.22,37.30,76.64,58.39,65.92,45.75,58.99,4298.88,18261.83,18866.85,0.00,235.28,0.00,2144.40,14.10,32.50,,3.60,0.80,25.15
4/1/2001,,,,,,,,,,,,,,,,90.31,17.12,1127.31,1189.45,35.42,76.70,58.15,64.20,43.76,57.28,4417.63,17165.11,15289.55,0.00,250.43,0.00,2089.03,14.08,36.60,,2.70,0.70,25.82
5/1/2001,,,,,,,,,,,,,,,,106.57,19.07,1331.05,1269.81,36.41,76.80,58.33,64.02,44.07,57.11,4586.53,16568.37,17627.10,0.00,226.62,0.00,1748.70,14.08,40.50,,3.50,0.60,26.66
6/1/2001,,,,,,,,,,,,,,,,58.50,20.15,1375.58,1146.46,37.24,76.88,58.23,64.09,44.69,57.34,4690.60,16008.58,15375.74,0.00,215.03,0.00,1543.23,14.09,40.70,,2.60,0.40,27.44
